text,labels
"The proof of principle of an acquisition system of +/-50ppm repeatability, 10 V range, real-time delay less than 1.2 its is presented. The system will be integrated into the digital control loop of a high -voltage modulator under design at ETH Zurich and University of Laval for the new particle accelerator under study at CERN, the Compact LInear Collider (CLIC). Initial specifications are presented and translated into system requirements. Main design choices are discussed and Pspice simulation results are reported to prove that the proposed system meets the demanding requirements.
",1
"Objective: Skeletal dysplasia with bowing long bones is a rare group of multiple characterized congenital anomalies. Materials and Methods: We introduce a simple, practical diagnostic flowchart that may be helpful in identifying the appropriate pathway of obstetrical management. Results: Herein, we describe four fetal cases of bent bony dysplasia that focus on ultrasound findings, phenotype, molecular tests, distinctive X-ray features, and chondral growth plate histology. The first case was a typical campomelic dysplasia resulting from a de novo mutation in the SOX9 gene. The second fetus was affected by osteogenesis imperfecta Type II carrying a mutation in the COLA1 gene. The third case was a rare presentation of campomelic dysplasia, Cumming type, in which SOX9 examination was normal. Subsequently, a femoral hypoplasia unusual fades syndrome is also discussed. Conclusion: Targeted molecular tests and genetic counseling are required for supplementing ultrasound imaging in order to diagnose the correct skeletal disorders. Copyright (C) 2016, Taiwan Association of Obstetrics & Gynecology. Published by Elsevier Taiwan LLC.
",7
"The spermatogenic cell-specific variant of glyceraldehyde 3-phosphate dehydrogenase (GAPDS) has been cloned from a rat testis cDNA library and its pattern of expression determined. A 1,417 nucleotide cDNA has been found to encode an enzyme with substantial homology to mouse GAPDS (94% identity) and human GAPD2 (83% identity) isozymes. Northern blotting of rat tissue RNAs detected the 1.5 kb Gapds transcript in the testis and not in RNA from liver, spleen, epididymis, heart, skeletal muscle, brain, seminal vesicle, and kidney. The rat Gapds mRNA was first detected at day 29 of postnatal testis development, an age which coincides with the initial post-meiotic differentiation of round spermatids. When isolated rat spermatogenic cell RNA was probed for Gapds expression, transcripts were detected only in round spermatids and condensing spermatids, but not in pachytene spermatocytes, demonstrating haploid expression of the Gapds gene. However, immunohistochemical staining of rat testis sections with anti-GAPDS antisera did not detect GAPDS in round spermatids, but localized the protein only to stage XIII and later condensing spermatids as well as testicular spermatozoa, indicating that Gapds expression is translationally regulated. The current results are similar to those previously obtained for mouse GAPDS and human GAPD2, suggesting that reliable comparisons can be made between these species in toxicant screening and contraceptive development.
",10
"Reciprocal signalling and gene expression play a cardinal role during pathogen-host molecular interactions and are prerequisite to the maintenance of balanced homeostasis. Gene expression repertoire changes during rickettsial infection and glutathione-S-transferases (GSTs) were among the genes found up-regulated in Rickettsia-infected Dermacentor variabilis. GSTs are well known to play an important part in cellular stress responses in the host. We have cloned two full-length GSTs from D. variabilis (DvGST1 and DvGST2). Comparison of these two DvGST molecules with those of other species indicate that DvGST1 is related to the mammalian class theta and insect class delta GSTs, while DvGST2 does not seem to fall in the same family. Northern blotting analyses revealed differential expression patterns, where DvGST1 and DvGST2 transcripts are found in the tick gut, with DvGST2 transcripts also present in the ovaries. Both DvGST transcripts are up-regulated upon tick feeding. Challenge of fed adult ticks with Escherichia coli injection showed decreased transcript amounts compared with ticks injected with phosphate-buffered saline (sham) and naive ticks.
",10
"Background: The effects of therapeutic relationship (TR) in elder mental health are understudied. A greater understanding of TR in geriatric psychotherapy is particularly needed for treating late-life depression with executive dysfunction, which predicts poor response to antidepressant medication and presents unique clinical challenges. Methods: Participants were older patients (N = 220) with major depression and executive dysfunction who received 12 weeks of problem-solving therapy or supportive therapy in a randomized control trial. Multilevel growth curve modeling and latent change scores were used to analyze TR dimensions of Understanding and Accepting at the patient level (individual patient ratings, N = 194) and therapist level (ratings of each therapist averaged across participants, N = 10). Results: TR predicted reduction of depression in both treatment groups, while treatment x TR interactions were not significant. Patients treated by therapists with higher average Understanding (patient and therapist level) and Accepting (therapist level) ratings had greater decreases in depression. The patient level x therapist level interaction for Understanding approached statistical significance (p=.065), suggesting a synergistic effect on treatment outcome. Together, Understanding and Accepting predicted 21% of variance in depression level changes. Limitations: TR was not assessed throughout the course of treatment (only after the first therapy session and at post-treatment) and did not include ratings from an objective evaluator. Conclusions: Assessment of patient's experience of the TR and of therapist ability to foster Understanding and Accepting can play a significant role in the delivery of geriatric psychosocial interventions.
",5
"The pumped storage power station (PSPS) is a special power source that has flexible operation modes and multiple functions. With the rapid economic development in China, the energy demand and the peak-valley load difference of the power grid are continuing to increase. Moreover, wind power, nuclear power, and other new energy sources also develop very fast. Developing the PSPS is of great importance to the power source structure adjustment, and the secure and stable operation of the power grids in China in the 21st century. This paper provides a survey of the PSPS development in China. Over the last two decades, China's PSPS has developed quickly. The PSPS installed capacity had reached 21.83 gigawatts (GW) by the end of 2014, ranking among the top in the world. 27 PSPSs have been completed and put into production, and many with the installed capacity of more than 1200 megawatts (MW) are still under construction, including Fengning PSPS. In addition, a lot of sites suitable for the PSPS construction have been planned. With regard to the challenges existing in the exploitation course, some suggestions are proposed. There is a bright future for the PSPS development in China.
",0
"The mu-opioid receptor (MOR) plays a mandatory role in the action of most opioid drugs, such as morphine, fentanyl, and heroin. it has been revealed that a deficiency in the MOR gene (Oprm 1) or a difference in the 3' noncoding region of the gene markedly affects the sensitivity of mice to opioids. As the 3' noncoding region of the human OPRM1 gene had not yet been characterized, in the present study we conducted 3'-rapid amplification of cDNA ends (3'RACE)-PCR and identified the 3' end of the human MOR-1 mRNA, the most abundant transcript among OPRM1 gene transcripts. The poly(A) signal was located at 13612-13617 nucleotides downstream from the stop codon in the OPRM1 gene. Reverse transcription PCR analyses showed that the region from the stop codon to the poly(A) signal was transcribed. In the 3' UTR, we identified 33 AU-rich regions and more than 300 putative transcription factor-binding sites. Furthermore, we compared the 3' noncoding regions of the human and mouse OPRM1/Oprm1] genes and found apparent homology. In Northern blotting with mouse brain mRNAs, a same-size band was detected by a probe for the MOR-1 coding region and by a probe for a mouse genome region corresponding to the human MOR-1 3'UTR. Since 3'UTRs affect gene expression, the present characterization of the 3' noncoding region in the human OPRM1 gene should lead to a better understanding of the mechanisms underlying OPRM1 gene regulation and individual differences in sensitivity to opioids. Published by Elsevier B.V.
",10
"Recurrent gene fusions involving EWSR1 with members of the cAMP response element binding protein (CREB) family (ATF1 and CREB1) have been reported in a diverse group of tumors including angiomatoid fibrous histiocytoma (AFH), soft tissue and gastrointestinal clear cell sarcoma, primary pulmonary myxoid sarcoma, and hyalinizing clear cell carcinoma of salivary gland. We have recently encountered a group of 5 myxoid mesenchymal tumors positive for EWSR1 fusions with one of the CREB family member (ATF1, CREB1, and CREM), with histologic features distinct from any of the previously described pathologic entities. Tumors occurred in children or young adults (12 to 23 y; mean, 18 y), with equal sex distribution. All except 1 were intracranial (intra-axial, 2; meningeal, 2), whereas 1 was perirectal. Histologically, the tumors were well circumscribed, often lobulated, composed of uniform ovoid to round cells, and arranged in cord-like or reticular structures in a myxoid background. All except 1 displayed unique sunburst amianthoid fibers. Immunohistochemically, tumors were positive for epithelial membrane antigen (5/5; 4 focal, 1 diffuse) and desmin (3/5). A novel EWSR1-CREM fusion was identified by RNA sequencing in the perirectal tumor, which was further confirmed by fluorescence in situ hybridization (FISH) and reverse transcription-polymerase chain reaction (RT-PCR). A second case with similar EWSR1-CREM fusion was identified by RT-PCR and FISH in a meningeal tumor. The remaining cases studied by FISH showed the presence of EWSR1-CREB1 fusion in 2 cases and EWSR1-ATF1 in 1. In conclusion, we report a distinct group of myxoid mesenchymal neoplasms occurring in children or young adults with a predilection for intracranial locations. Although the immunoprofile [epithelial membrane antigen (EMA), desmin] and the fusion type raise the possibility of a myxoid AFH, none of the typical histologic findings of AFH were present, suggesting a novel entity.
",9
"It has been shown in vitro that only specific dietary fibers contribute to immunity, but studies in vivo are not conclusive. Here, we investigated degree of polymerization (DP) dependent effects of beta 2 ->1-fructans on immunity via microbiota-dependent and-independent effects. To this end, conventional or germ-free mice received short-or long-chain beta 2 ->1-fructan for 5 days. Immune cell populations in the spleen, mesenteric lymph nodes (MLNs), and Peyer's patches (PPs) were analyzed with flow cytometry, genome-wide gene expression in the ileum was measured with microarray, and gut microbiota composition was analyzed with 16S rRNA sequencing of fecal samples. We found that beta 2 ->1-fructans modulated immunity by both microbiota and microbiota-independent effects. Moreover, effects were dependent on the chain-length of the beta 2 ->1-fructans type polymer. Both short-and long-chain beta 2 ->1-fructans enhanced T-helper 1 cells in PPs, whereas only short-chain beta 2 ->1-fructans increased regulatory T cells and CD11b(-)CD103(-)dendritic cells (DCs) in the MLN. A common feature after short-and long-chain beta 2 ->1-fructan treatment was enhanced 2-alpha-L-fucosyltransferase 2 expression and other IL-22-dependent genes in the ileum of conventional mice. These effects were not associated with shifts in gut microbiota composition, or altered production of short-chain fatty acids. Both short-and long-chain beta 2 ->1-fructans also induced immune effects in germ-free animals, demonstrating direct effect independent from the gut microbiota. Also, these effects were dependent on the chain-length of the beta 2 ->1-fructans. Short-chain beta 2 ->1-fructan induced lower CD80 expression by CD11b(-)CD103(-) DCs in PPs, whereas long-chain beta 2 ->1-fructan specifically modulated B cell responses in germ-free mice. In conclusion, support of immunity is determined by the chemical structure of beta 2 ->1-fructans and is partially microbiota independent.
",8
"BACKGROUND: Characterizing associations between the upper and lower airways is important for asthma management. OBJECTIVES: This study aimed to assess the determinants of incomplete asthma control in patients with allergic rhinitis (AR) and asthma. METHODS: Multiple factors including age, sex, atopy, smoking history, medication use, Asthma Control Questionnaire (ACQ) score, FEV1, fraction of exhaled nitric oxide (F-ENO), and rhinitis questionnaire score were examined. AR was defined by rhinitis symptoms and the sensitization to inhaled allergens. ACQ was used to dichotomize the subjects into the incompletely controlled group (ACQ score >= 0.75) and the well-controlled group. The factors that contribute to incomplete asthma control were assessed by a multivariate analysis. RESULTS: A total of 260 patients with AR and asthma were enrolled and 108 patients (42%) were classified as incomplete asthma control. The incompletely controlled group was older (P<.05), and had more airflow limitation, more airway inflammation, and more severe rhinitis symptoms (all P<.001). In contrast, the well-controlled group was more likely to be taking nasal corticosteroids (NCSs) (P<.01). In a multivariate model adjusted by age, asthma treatment, airflow limitation, and FENO, persistence and severity of rhinitis (odds ratio [OR], 2.57; 95% CI, 1.41-4.70, and OR, 2.00; 95% CI, 1.10-3.65) and nonuse of NCSs (OR, 3.83; 95% CI, 1.50-9.81) were independently associated with incomplete asthma control. CONCLUSIONS: The persistence and severity of AR and the use of NCSs were associated with the level of asthma control in patients with AR and asthma. Further studies are required to determine whether appropriate treatment of rhinitis would improve asthma control. (C) 2016 American Academy of Allergy, Asthma & Immunology
",8
